Pincode,City,State,Delhivery,GATI,V-Xpress,Safexpress,Movin,DP World,Criticalog,Blue Dart,Baral,DTDC,Ethics,Ethics
388545,Borsad,Gujarat,Serviceable,NSZ,ODA-A,Serviceable,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-1
854205,Bhawanipur Rajdham,Bihar,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
331402,Sardarshahr,Rajasthan,Serviceable,NSZ,ODA-D,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
530030,Visakhapatnam,Andhra Pradesh,Serviceable,NSZ,NSZ,Serviceable,NSZ,DIRECT,NSZ,NSZ,NSZ,NSZ,NSZ,Regular
262902,Nighasan,Uttar Pradesh,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,ODA-C,NSZ,NSZ
533483,Addateegala,Andhra Pradesh,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
327602,Kushalgarh,Rajasthan,ODA-A,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
734403,Siliguri,West Bengal,Serviceable,NSZ,NSZ,Serviceable,NSZ,DIRECT,NSZ,Serviceable,NSZ,Serviceable,Serviceable,Regular
516312,Proddatur,Andhra Pradesh,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,NSZ,ODA-A,Serviceable,NSZ,NSZ,NSZ,NSZ
621719,Pennadam,Tamil Nadu,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
678706,Anjumoorthy,Kerala,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-2
632209,Gudiyattam,Tamil Nadu,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
784190,Udalguri,Assam,Serviceable,NSZ,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
505326,Koratla,Telangana,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,Serviceable,Serviceable,NSZ,NSZ,NSZ,ODA-2
638458,Erode,Tamil Nadu,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
502301,Pregnapur,Telangana,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-1
585307,Chincholi,Karnataka,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
828108,Dhanbad,Jharkhand,Serviceable,NSZ,ODA-C,Serviceable,NSZ,NSZ,ODA-A,ODA-A,NSZ,ODA-B,NSZ,NSZ
769013,Rourkela,Odisha,Serviceable,NSZ,ODA-B,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,Serviceable,NSZ,NSZ
751006,Bhubaneshwar,Odisha,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
741157,Plassey,West Bengal,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
276122,Jiyanpur,Uttar Pradesh,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
364710,Botad,Gujarat,ODA-A,ODA-A,ODA-D,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,ODA-D,NSZ,ODA-2
686537,Tiruvalla,Kerala,Serviceable,ODA-A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
638116,Kunnathur,Tamil Nadu,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-1
643253,Gudalur,Tamil Nadu,ODA-A,ODA-B,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
761018,Hinjilicut,Odisha,ODA-A,NSZ,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
360012,Rajkot,Gujarat,ODA-A,NSZ,NSZ,ODA-A,NSZ,DIRECT,NSZ,NSZ,NSZ,NSZ,NSZ,Regular
522259,Repalle,Andhra Pradesh,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -C,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-3
177028,Sandhol,Himachal Pradesh,Serviceable,ODA-B,ODA-D,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-2
752019,Nirakarpur,Odisha,ODA-A,ODA-A,NSZ,ODA-A,ODA-A,ODA -A,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-1
144503,Phagwara,Punjab,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
518510,Sirvella,Andhra Pradesh,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,ODA -B,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-2
782143,Kaliabor,Assam,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
609605,Karaikal,Pondicherry,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-3
148101,Barnala,Punjab,Serviceable,NSZ,Serviceable,Serviceable,NSZ,ODA -A,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-1
576211,Kundapura,Karnataka,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
757106,Raj Berhampur,Odisha,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
202138,Khair,Uttar Pradesh,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
786192,Tinsukia,Assam,Serviceable,Serviceable,NSZ,ODA-A,NSZ,DIRECT,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
622506,Pudukkottai,Tamil Nadu,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
509382,Mahabubnagar,Telangana,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,NSZ,NSZ,NSZ
394652,Vyara,Gujarat,Serviceable,NSZ,ODA-B,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
600023,Chennai,Tamil Nadu,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,Serviceable,Regular
176095,Sujanpur,Himachal Pradesh,ODA-A,NSZ,ODA-D,ODA-A,NSZ,ODA -C,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-3
625532,Usilampatti,Tamil Nadu,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,ODA-B,NSZ,NSZ
743424,Joypul,West Bengal,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
561209,Bagepalli,Karnataka,Serviceable,NSZ,ODA-C,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-2
711408,Ilipur,West Bengal,ODA-A,NSZ,Serviceable,ODA-A,ODA-A,ODA -A,Serviceable,ODA-A,NSZ,Serviceable,NSZ,ODA-1
412802,Khandala,Maharashtra,ODA-A,NSZ,ODA-B,ODA-A,NSZ,DIRECT,ODA-A,Serviceable,NSZ,ODA-C,NSZ,ODA-1
328023,Kheragarh,Rajasthan,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
607005,Cuddalore,Tamil Nadu,ODA-A,Serviceable,ODA-A,ODA-A,NSZ,ODA -A,NSZ,Serviceable,NSZ,ODA-D,NSZ,ODA-2
413118,Akluj,Maharashtra,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
754011,Adaspur,Odisha,Serviceable,NSZ,ODA-B,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,ODA-B,NSZ,ODA-1
676553,Valanchery,Kerala,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -B,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-2
631207,Sholinghur,Tamil Nadu,Serviceable,NSZ,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
600076,Chennai,Tamil Nadu,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,Serviceable,Regular
606704,Tiruvannamalai,Tamil Nadu,Serviceable,ODA-B,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
781141,Chhaygaon,Assam,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
713517,Katwa,West Bengal,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
333011,Jhunjhunu,Rajasthan,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
626139,Rajapalayam,Tamil Nadu,Serviceable,ODA-A,Serviceable,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
160065,Mohali,Punjab,Serviceable,NSZ,Serviceable,Serviceable,NSZ,DIRECT,NSZ,NSZ,NSZ,Serviceable,NSZ,Regular
323303,Rawatbhata,Rajasthan,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
384207,Mehsana,Gujarat,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -A,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
799114,Udaipur-Tr,Tripura,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ
412412,Alephata,Maharashtra,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-1
761135,Bhanjanagar,Odisha,ODA-A,NSZ,NSZ,Serviceable,NSZ,ODA -C,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-3
762109,Balliguda,Odisha,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
841209,Ekma,Bihar,ODA-A,Serviceable,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
743245,Bongaon,West Bengal,ODA-A,Serviceable,ODA-C,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
613204,Thirukkattupalli,Tamil Nadu,Serviceable,Serviceable,ODA-B,ODA-A,NSZ,ODA -B,ODA-A,Serviceable,NSZ,NSZ,NSZ,ODA-2
209724,Farrukhabad,Uttar Pradesh,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
501203,Shankarpalle,Telangana,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,ODA-A,NSZ,NSZ,ODA-B,NSZ,ODA-1
431713,Bhokar,Maharashtra,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
635710,Tiruppattur,Tamil Nadu,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,ODA-D,NSZ,NSZ
230142,Patti-Up,Uttar Pradesh,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -B,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-2
457552,Ratlam,Madhya Pradesh,ODA-A,NSZ,NSZ,Serviceable,NSZ,ODA -B,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-2
679101,Pazhayannur,Kerala,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,Serviceable,Serviceable,NSZ,ODA-B,NSZ,ODA-2
576103,Manipal,Karnataka,Serviceable,Serviceable,Serviceable,ODA-A,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,ODA-1
